,State_Name,District_Name,Crop_Year,Season,Crop,Area,production
48792,Chhattisgarh,DHAMTARI,2008,Kharif     ,Potato,20.0,89.42999999999999
48854,Chhattisgarh,DHAMTARI,2009,Whole Year ,Sannhamp,1.0,1.525
48893,Chhattisgarh,DHAMTARI,2010,Whole Year ,Sannhamp,1.0,1.525
48930,Chhattisgarh,DHAMTARI,2011,Whole Year ,Sannhamp,1.0,1.525
48966,Chhattisgarh,DHAMTARI,2012,Whole Year ,Sannhamp,1.0,1.525
48979,Chhattisgarh,DHAMTARI,2013,Kharif     ,Sannhamp,1.0,4.242999999999999
48982,Chhattisgarh,DHAMTARI,2013,Kharif     ,Sunflower,7.0,2.3583333333333334
49078,Chhattisgarh,DURG,2000,Whole Year ,Tobacco,1.0,2.225
49142,Chhattisgarh,DURG,2002,Rabi       ,Other  Rabi pulses,1.0,5.0
49247,Chhattisgarh,DURG,2005,Kharif     ,Niger seed,1.0,1.0
49369,Chhattisgarh,DURG,2008,Kharif     ,Other Kharif pulses,1.0,1.0
49407,Chhattisgarh,DURG,2009,Kharif     ,Niger seed,1.0,1.0
49430,Chhattisgarh,DURG,2009,Whole Year ,Cotton(lint),7.0,256.08000000000004
49433,Chhattisgarh,DURG,2009,Whole Year ,Garlic,6.0,18.557222222222226
49557,Chhattisgarh,DURG,2013,Kharif     ,Sunflower,9.0,4.154999999999999
49616,Chhattisgarh,GARIYABAND,2011,Kharif     ,Mesta,1.0,3.0
49690,Chhattisgarh,GARIYABAND,2013,Kharif     ,Jute,36.0,259.87666666666667
49701,Chhattisgarh,GARIYABAND,2013,Kharif     ,Sunflower,3.0,22.60744227994228
49729,Chhattisgarh,GARIYABAND,2014,Kharif     ,Jute,18.0,136.51
50000,Chhattisgarh,JANJGIR-CHAMPA,2006,Rabi       ,Jute,13.0,97.675
50070,Chhattisgarh,JANJGIR-CHAMPA,2008,Kharif     ,Potato,17.0,140.36933333333334
